,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,relu,700,32,0.000398,0.0,0.9249690263851119,0.8699380146835755
1,relu,700,512,0.00015,0.0,0.9283792254100146,0.8721603640777789
2,relu,700,512,0.00015,0.0,0.9353208404322716,0.8691687152134688
3,relu,700,512,0.00015,0.001456,0.9298284401642068,0.8742964500765216
4,relu,700,512,0.00015,0.001456,0.9337280243441227,0.8697358004104468
5,relu,700,512,0.00015,0.0945,0.9091394776965539,0.8649985602674569
6,relu,700,512,0.00015,0.0945,0.9158030291828896,0.86882706740326
7,relu,700,512,0.000398,0.0,0.9440511296194145,0.881739508534835
8,relu,700,512,0.000398,0.0,0.9489841659228506,0.8810631055756787
9,relu,700,512,0.000398,0.0,0.9579607697173779,0.8824286829864022
10,relu,700,512,0.000398,0.001456,0.9499017044619265,0.8786019448746019
11,relu,700,512,0.000398,0.001456,0.9552629094483127,0.8769840234859883
12,relu,700,512,0.000398,0.0945,0.9142680843753237,0.8750150155404719
13,relu,700,512,0.000398,0.0945,0.9199683341298861,0.875403592090966
14,relu,700,512,0.000875,0.0,0.9614458591161182,0.8813979046891028
15,relu,700,512,0.000875,0.0,0.9714846355669279,0.887479636699724
16,relu,700,512,0.000875,0.001456,0.9515993688719608,0.882211261943775
17,relu,700,512,0.000875,0.001456,0.9653741716546106,0.8837367517873994
18,relu,700,512,0.000875,0.0945,0.9097256821081737,0.8720500651701233
19,relu,700,512,0.000875,0.0945,0.9110251226674281,0.8715583860951939
20,relu,700,4096,0.000398,0.0,0.9227826169053791,0.8649785382710994
