,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,relu,2000,512,0.0003,0.0,0.9662502610580647,0.869135458815708
1,relu,2000,512,0.0003,0.0,0.9734822409020811,0.8757164936248035
2,relu,2000,512,0.0005,0.0,0.9719755100011074,0.8735746373618068
3,relu,2000,512,0.0005,0.0,0.9745072430053823,0.8719283534873744
4,relu,2000,512,0.000875,0.0,0.9757402862891211,0.8780266834495992
5,relu,2000,512,0.000875,0.0,0.9834149137061953,0.8793082663198898
6,relu,2000,512,0.001,0.0,0.9770831364205604,0.8801567556397127
7,relu,2000,512,0.001,0.0,0.9793289644997467,0.8792162305199203
8,relu,2000,512,0.0015,0.0,0.981680765357395,0.8788362512165033
9,relu,2000,512,0.0015,0.0,0.9841522666466522,0.8866924981536253
10,relu,2000,512,0.0015,0.001456,0.9759334644211838,0.8891860040384876
11,relu,2000,512,0.0015,0.001456,0.9785727278746011,0.8770660864814638
