,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,64,0.001057,0.003203,0.8784005842614571,0.7644628099173553
1,leaky_relu,80,64,0.00114,0.007065,0.7820105820105822,0.7588856868395772
2,leaky_relu,80,64,0.00149,0.0,0.8574807806031934,0.7552986512524085
3,leaky_relu,80,256,0.001369,0.006224,0.8776257467720177,0.8080536912751678
4,leaky_relu,80,512,0.002372,0.0,0.8702380952380951,0.7951070336391438
5,relu,80,64,0.00054,0.001488,0.8593111500291886,0.8029197080291971
6,relu,80,64,0.000704,0.003444,0.8732167972674302,0.7796610169491527
7,relu,80,64,0.000764,0.001723,0.8780290791599353,0.7901234567901234
8,relu,80,128,0.000778,0.0,0.8936170212765957,0.7932843651626442
9,relu,80,128,0.001109,0.0,0.8856799037304453,0.7932843651626442
10,relu,80,256,0.00065,0.0,0.8167130919220055,0.7244897959183674
11,relu,80,256,0.000854,0.001823,0.8760666395774075,0.8012358393408857
12,relu,80,256,0.00178,0.001914,0.8871695680206318,0.7967313585291113
13,relu,80,512,0.001279,0.00406,0.8622944323360412,0.789156626506024
14,relu,80,512,0.002731,0.006061,0.862799445654326,0.7633885102239533
15,relu,80,512,0.004229,0.003451,0.8917647058823529,0.7854855923159018
16,sigmoid,80,64,0.000507,0.002039,0.8516154766653371,0.7562189054726369
17,sigmoid,80,64,0.001357,0.0,0.8918530679253026,0.7928118393234672
18,sigmoid,80,64,0.001708,0.003274,0.8646748681898068,0.7893660531697341
19,sigmoid,80,64,0.00196,0.0,0.8563151796060254,0.7589928057553957
20,sigmoid,80,64,0.002028,0.001474,0.8588098016336057,0.7821229050279329
21,sigmoid,80,128,0.000769,0.002662,0.8650060265166734,0.783132530120482
22,sigmoid,80,128,0.001069,0.001005,0.8576429404900816,0.7827827827827828
23,sigmoid,80,128,0.001425,0.003409,0.8403648802736603,0.7900497512437812
24,sigmoid,80,256,0.000713,0.001114,0.8300395256916995,0.7242524916943522
25,sigmoid,80,256,0.000746,0.005522,0.8387727183896815,0.7495219885277247
26,sigmoid,80,256,0.000801,0.001405,0.8453244461870222,0.7423076923076922
27,sigmoid,80,512,0.000889,0.0,0.8208381391772396,0.7447619047619047
28,sigmoid,80,512,0.003439,0.003179,0.8689544451133855,0.7845528455284553
29,sigmoid,80,512,0.004673,0.0,0.8713105076741441,0.8143459915611814
