,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,64,0.000589,0.005812,0.8797236895570906,0.8004115226337448
1,leaky_relu,80,64,0.000783,0.0,0.8751202616894364,0.7943548387096774
2,leaky_relu,80,64,0.000798,0.0,0.8813357185450209,0.8059701492537312
3,leaky_relu,80,64,0.000968,0.007926,0.8613224107665302,0.8053278688524591
4,leaky_relu,80,64,0.001383,0.001358,0.8797902379991932,0.7758186397984886
5,leaky_relu,80,128,0.000736,0.0,0.8711583924349882,0.7827225130890053
6,leaky_relu,80,128,0.000891,0.001048,0.8690595548425907,0.7893114080164441
7,leaky_relu,80,128,0.003211,0.0,0.8468848996832101,0.7469586374695865
8,leaky_relu,80,128,0.004575,0.001823,0.8611260053619303,0.7882653061224489
9,leaky_relu,80,256,0.000614,0.005756,0.8720016125781092,0.7971457696228339
10,leaky_relu,80,512,0.000656,0.001066,0.8448883666274971,0.7763546798029557
11,relu,80,64,0.001352,0.0,0.8721020092735704,0.7922210849539407
12,relu,80,64,0.002948,0.001715,0.8218262806236081,0.7848101265822786
13,relu,80,128,0.000789,0.007534,0.8631578947368421,0.7725490196078432
14,relu,80,128,0.001124,0.003942,0.8502325581395348,0.7814960629921259
15,relu,80,512,0.001115,0.0,0.8605482717520857,0.7793240556660039
16,relu,80,512,0.002147,0.008988,0.8571965426531379,0.7897334649555775
17,relu,80,512,0.002265,0.002325,0.8828939301042305,0.8068783068783069
18,sigmoid,80,64,0.001533,0.00137,0.8752006420545747,0.762589928057554
19,sigmoid,80,64,0.00268,0.008554,0.840551563410371,0.7471264367816093
20,sigmoid,80,128,0.000632,0.00221,0.8535514764565044,0.7450236966824645
21,sigmoid,80,128,0.000891,0.007519,0.8480662983425414,0.7466150870406191
22,sigmoid,80,128,0.003434,0.009212,0.8661596958174905,0.7696850393700786
23,sigmoid,80,256,0.001248,0.0,0.8682887593002212,0.7440076701821668
24,sigmoid,80,256,0.002509,0.004806,0.8867301340586748,0.7835897435897435
25,sigmoid,80,256,0.002836,0.002137,0.8759643916913946,0.7543520309477756
26,sigmoid,80,512,0.000853,0.001656,0.8294617563739378,0.7205387205387205
27,sigmoid,80,512,0.001184,0.0,0.8425798862968045,0.7552986512524085
28,sigmoid,80,512,0.003568,0.003524,0.8777934366821019,0.7722385141739981
29,sigmoid,80,512,0.004339,0.0,0.8865853658536585,0.8049281314168377
