,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,64,0.000668,0.0,0.1150083049404652,0.11546313872342152
1,leaky_relu,80,64,0.000685,0.0,0.08226114125500625,0.08273272019681156
2,leaky_relu,80,64,0.001447,0.0025,0.11383653354893099,0.11399745731122275
3,leaky_relu,80,64,0.003122,0.001117,0.2080405905706991,0.20863894035682742
4,leaky_relu,80,128,0.000543,0.009594,0.11049373345146074,0.11055337809204137
5,leaky_relu,80,128,0.000561,0.0,0.1448977379870208,0.14541553723059297
6,leaky_relu,80,128,0.00074,0.0,0.0773052358296606,0.07708398771934362
7,leaky_relu,80,128,0.003436,0.006867,0.1430395343985773,0.14255773727895835
8,leaky_relu,80,128,0.003668,0.001229,0.1130180898342273,0.11329682084327955
9,leaky_relu,80,128,0.004369,0.002573,0.14360053906825768,0.1439433753008464
10,leaky_relu,80,256,0.00407,0.003617,0.08011507079362336,0.07939119342744476
11,leaky_relu,80,512,0.000733,0.0,0.11055325326838418,0.11045917682935337
12,relu,80,128,0.001159,0.0,0.14292686936790372,0.14257233484882273
13,relu,80,128,0.003359,0.003348,0.07915024304255791,0.07877600051709896
14,relu,80,256,0.000683,0.004036,0.04456382520236947,0.0436268075443104
15,relu,80,256,0.000739,0.004693,0.11082974460356468,0.11067416768296083
16,relu,80,256,0.001538,0.002805,0.11373666088274637,0.11392519348988753
17,relu,80,256,0.004912,0.004315,0.14375389270249614,0.14419784775228606
18,sigmoid,80,64,0.001108,0.006269,0.24045466712677338,0.24151786215333507
19,sigmoid,80,128,0.000653,0.005038,0.24045466712677338,0.24151786215333507
20,sigmoid,80,128,0.000707,0.002667,0.24045466712677338,0.24151786215333507
21,sigmoid,80,128,0.00135,0.0,0.24045466712677338,0.24151786215333507
22,sigmoid,80,128,0.002316,0.005845,0.24045466712677338,0.24151786215333507
23,sigmoid,80,256,0.001529,0.001075,0.24045466712677338,0.24151786215333507
24,sigmoid,80,256,0.001592,0.002275,0.24045466712677338,0.24151786215333507
25,sigmoid,80,256,0.003581,0.001389,0.24045466712677338,0.24151786215333507
26,sigmoid,80,512,0.000742,0.0,0.24045466712677338,0.24151786215333507
27,sigmoid,80,512,0.000801,0.0,0.24045466712677338,0.24151786215333507
28,sigmoid,80,512,0.001149,0.001288,0.24045466712677338,0.24151786215333507
29,sigmoid,80,512,0.002931,0.007602,0.24045466712677338,0.24151786215333507
