,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,64,0.000532,0.001443,0.14180689936584118,0.14167751068372736
1,leaky_relu,80,64,0.00068,0.005592,0.07888396516249184,0.07839762477245633
2,leaky_relu,80,128,0.001053,0.0,0.14198634336165095,0.14132825045886163
3,leaky_relu,80,256,0.001634,0.005416,0.14892426012182478,0.14736449653457537
4,leaky_relu,80,256,0.001684,0.003835,0.11674104684751545,0.11337616130175202
5,leaky_relu,80,512,0.00053,0.0,0.11335277362007358,0.11349326501942927
6,leaky_relu,80,512,0.000709,0.009188,0.048009301092488965,0.04680229575696242
7,leaky_relu,80,512,0.001201,0.007082,0.1102638518086982,0.11255280818540493
8,leaky_relu,80,512,0.002576,0.0027,0.18931503935623226,0.1880006035070649
9,relu,80,64,0.001235,0.004817,0.14209162296123914,0.14257233484882273
10,relu,80,128,0.001407,0.003903,0.1454161624437531,0.14582336065574944
11,relu,80,128,0.001438,0.0,0.07458105702211926,0.07389946180670894
12,relu,80,256,0.001049,0.007221,0.17418874772557819,0.17447050201468461
13,relu,80,512,0.000836,0.0,0.11124736780689694,0.11067416768296083
14,relu,80,512,0.002076,0.0,0.04788836468488344,0.04687783335123708
15,relu,80,512,0.00482,0.002522,0.0762897099873334,0.07575601618030561
16,sigmoid,80,64,0.000655,0.006572,0.24045466712677338,0.24151786215333507
17,sigmoid,80,64,0.002211,0.004221,0.24045466712677338,0.24151786215333507
18,sigmoid,80,128,0.000622,0.006685,0.24045466712677338,0.24151786215333507
19,sigmoid,80,128,0.000873,0.002233,0.24045466712677338,0.24151786215333507
20,sigmoid,80,128,0.001556,0.0,0.24045466712677338,0.24151786215333507
21,sigmoid,80,128,0.001799,0.007041,0.24045466712677338,0.24151786215333507
22,sigmoid,80,256,0.000621,0.00279,0.24045466712677338,0.24151786215333507
23,sigmoid,80,256,0.001533,0.0,0.24045466712677338,0.24151786215333507
24,sigmoid,80,256,0.002751,0.003783,0.24045466712677338,0.24151786215333507
25,sigmoid,80,256,0.003552,0.005935,0.24045466712677338,0.24151786215333507
26,sigmoid,80,512,0.001939,0.0076,0.24045466712677338,0.24151786215333507
27,sigmoid,80,512,0.00351,0.007329,0.24045466712677338,0.24151786215333507
28,sigmoid,80,512,0.003564,0.003245,0.24045466712677338,0.24151786215333507
29,sigmoid,80,512,0.003823,0.006022,0.24045466712677338,0.24151786215333507
