,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,800,64,0.000116,0.002198,0.968200614876685,0.8834333281643765
1,leaky_relu,800,64,0.000625,0.001093,0.9790298059653688,0.8880635275486178
2,leaky_relu,800,128,0.000341,0.0,0.9794037339957176,0.8913169329125773
3,leaky_relu,800,128,0.000547,0.006972,0.9724883180075994,0.8941468385250041
4,leaky_relu,800,256,0.000884,0.0,0.9841883684755238,0.8968572491825687
5,leaky_relu,800,512,0.000113,0.002924,0.950527620532819,0.8892191727085302
6,relu,800,64,0.000133,0.006183,0.9603250459460363,0.8788188262700571
7,relu,800,64,0.000234,0.005324,0.9671352346704627,0.898313069429998
8,relu,800,64,0.000857,0.0,0.9815747463647941,0.8994752691960956
9,relu,800,128,0.000753,0.003101,0.9760732110180654,0.8977311938217233
10,relu,800,256,0.000257,0.006987,0.9607017757454875,0.8841393443581698
11,relu,800,256,0.000388,0.00113,0.970344276777942,0.8904406294503862
12,relu,800,256,0.000389,0.001088,0.9674288688897305,0.8889486892981627
13,relu,800,256,0.00068,0.003334,0.9766908541206676,0.8959014780589415
14,relu,800,512,0.000112,0.0,0.9496307307228995,0.8835752582110205
15,relu,800,512,0.000152,0.0,0.9516330325537887,0.8812486617316433
16,relu,800,512,0.000242,0.009609,0.9563612963616492,0.8824515795500073
17,relu,800,512,0.000389,0.002042,0.9645879064449848,0.8918428893694068
