,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,relu,600,32,0.000398,0.0,0.9564581701585659,0.8723777338896728
1,relu,600,512,0.00015,0.0,0.9282042447329787,0.8622644131891442
2,relu,600,512,0.00015,0.0,0.9328259044282582,0.868719665712262
3,relu,600,512,0.00015,0.001456,0.9278027453549597,0.8637156279613611
4,relu,600,512,0.00015,0.001456,0.9353586823970067,0.8737159465292574
5,relu,600,512,0.00015,0.0945,0.9093419468484437,0.8535494152612954
6,relu,600,512,0.00015,0.0945,0.9214559404605096,0.8679122669443281
7,relu,600,512,0.000398,0.0,0.9485353448350518,0.8659701010315548
8,relu,600,512,0.000398,0.0,0.9574695362102357,0.8821357826128748
9,relu,600,512,0.000398,0.001456,0.945379596418223,0.8686826102716119
10,relu,600,512,0.000398,0.001456,0.9588103043834114,0.8810686859622259
11,relu,600,512,0.000398,0.0945,0.9114553405193241,0.860343049832579
12,relu,600,512,0.000398,0.0945,0.9254525263458889,0.8696945631472778
13,relu,600,512,0.000875,0.0,0.9600418345591203,0.8880656077478838
14,relu,600,512,0.000875,0.0,0.9640536716739045,0.8921683184889969
15,relu,600,512,0.000875,0.001456,0.9626629053742969,0.8768838886800188
16,relu,600,512,0.000875,0.001456,0.9650233392744632,0.8867905461612996
17,relu,600,512,0.000875,0.0945,0.9099808522193833,0.8611104054589303
18,relu,600,512,0.000875,0.0945,0.9223915286683023,0.864728399388229
19,relu,600,4096,0.000398,0.0,0.9274561024394712,0.8788328915983703
