,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,200,64,0.000114,0.0,0.919379505542601,0.8612960615776395
1,leaky_relu,200,64,0.000155,0.005042,0.9214285016316855,0.859327236542833
2,leaky_relu,200,64,0.000637,0.009942,0.9288124459398887,0.8745542184232702
3,leaky_relu,200,64,0.000831,0.0,0.9453870332938026,0.8831555782463888
4,leaky_relu,200,128,0.000181,0.001574,0.9179913344287828,0.86031867357662
5,leaky_relu,200,128,0.000244,0.003124,0.9191731763830038,0.856584089281733
6,leaky_relu,200,128,0.00039,0.0,0.9352781084938436,0.8719130843791169
7,leaky_relu,200,256,0.000501,0.006895,0.9295497871021989,0.8667455912858953
8,leaky_relu,200,256,0.000775,0.003808,0.9402227343187868,0.8781460126397524
9,leaky_relu,200,512,0.000269,0.001951,0.9139222513731069,0.8528686049147324
10,leaky_relu,200,512,0.000337,0.0,0.917409484650033,0.8610352768095166
11,leaky_relu,200,512,0.000605,0.007895,0.9242479125517866,0.8639646972498314
12,relu,200,64,0.0001,0.002452,0.9126266360830668,0.8524095480501364
13,relu,200,64,0.000279,0.0,0.936518028467681,0.8764284600339008
14,relu,200,64,0.000821,0.002756,0.9411857778778223,0.876792797862279
15,relu,200,128,0.000162,0.0,0.9160763074998659,0.8595573256503967
16,relu,200,128,0.000233,0.002082,0.9338887838636561,0.87087836269352
17,relu,200,128,0.00034,0.002744,0.9311913752337976,0.8748891243316086
18,relu,200,128,0.000772,0.0,0.938926879637512,0.8684645759198846
19,relu,200,256,0.00011,0.00452,0.9007030135928472,0.8500217373378834
20,relu,200,256,0.000263,0.005942,0.9212083659520784,0.8603833682015407
21,relu,200,256,0.000933,0.001449,0.9407228786130152,0.8769813320657454
22,relu,200,512,0.000128,0.006232,0.8943934802165253,0.8451967784956127
23,relu,200,512,0.000213,0.0,0.9069180626866744,0.852021805935574
