,timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence
0,0,0.45643,0.37711,-0.50185,0.99999,0.46553999999999995,0.35447,-0.48219,0.99997,0.47145000000000004,0.35455,-0.48222,0.99998,0.47565,0.3546,-0.48236,0.99996,0.44537000000000004,0.35397,-0.48339,0.99997,0.43908,0.35421,-0.48352,0.99999,0.43416,0.35439,-0.48352,0.99998,0.48170999999999997,0.36703,-0.33061,0.99997,0.42545999999999995,0.3688,-0.33705,0.99998,0.46769000000000005,0.4022,-0.44287,0.99999,0.44366000000000005,0.40524,-0.44454,0.99999,0.51604,0.50863,-0.2127,0.99989,0.38449,0.51113,-0.22027,0.99998,0.53059,0.70349,-0.14978,0.99788,0.37263,0.71473,-0.14691,0.99979,0.5402100000000001,0.87047,-0.28378,0.99092,0.37781,0.89105,-0.27813,0.99892,0.54679,0.92841,-0.32593,0.97352,0.37193,0.94919,-0.32555,0.99709,0.53687,0.92864,-0.37607,0.97938,0.38273999999999997,0.94896,-0.36557,0.99767,0.53162,0.91364,-0.30592,0.98351,0.38802000000000003,0.93433,-0.29588,0.99779,0.49561999999999995,0.84909,-1e-05,0.99921,0.41435,0.84609,0.00064,0.99961,0.48807,1.12133,0.0627,0.77061,0.40876999999999997,1.12309,0.00111,0.90505,0.48763,1.33101,0.42379,0.01344,0.40901,1.33481,0.38792,0.01787,0.48968999999999996,1.36413,0.45535,0.02817,0.40696,1.36644,0.41938,0.02642,0.47591000000000006,1.40912,0.28845,0.00788,0.41657999999999995,1.41587,0.2687,0.00695
1,40,0.45606,0.37712,-0.51478,0.99999,0.46538999999999997,0.35424,-0.49323,0.99996,0.47141999999999995,0.3544,-0.49336,0.99998,0.47563,0.35453,-0.49355,0.99995,0.44497,0.3537,-0.49302,0.99997,0.43884,0.35385,-0.49314,0.99999,0.43396999999999997,0.35403,-0.49313,0.99997,0.48146999999999995,0.36735,-0.33517,0.99996,0.42513999999999996,0.36873,-0.33719,0.99998,0.46721,0.40328,-0.45354,0.99998,0.44342000000000004,0.40545,-0.45329,0.99999,0.51599,0.50987,-0.21539,0.99989,0.38444999999999996,0.51219,-0.20513,0.99998,0.5306299999999999,0.70537,-0.14993,0.99786,0.37277000000000005,0.7154,-0.11248,0.99971,0.54105,0.87171,-0.28654,0.99084,0.37793,0.89109,-0.23986,0.99856,0.54723,0.92855,-0.32846,0.97291,0.37219,0.94858,-0.28274,0.99617,0.53779,0.92905,-0.37823,0.97894,0.38271,0.94831,-0.3238,0.99693,0.53281,0.91369,-0.30807,0.98297,0.38783999999999996,0.93134,-0.25786,0.997,0.49546999999999997,0.85218,-0.00153,0.99911,0.41449,0.84931,0.00208,0.99954,0.4887,1.1205,0.03892,0.75407,0.4105,1.12383,-0.03199,0.90188,0.48795999999999995,1.3331,0.4112,0.01372,0.40929000000000004,1.33508,0.35375,0.0184,0.49000999999999995,1.36745,0.44267,0.02812,0.40715999999999997,1.36653,0.38443,0.02713,0.47585,1.41063,0.25141,0.00844,0.41730999999999996,1.41633,0.22083,0.00756
2,80,0.45592,0.37711,-0.52317,0.99999,0.46534,0.35402,-0.50126,0.99996,0.47141,0.35423,-0.5014,0.99997,0.47563,0.35442,-0.50162,0.99995,0.44484,0.35351,-0.50094,0.99996,0.43876000000000004,0.3536,-0.50106,0.99998,0.43394999999999995,0.35375,-0.50105,0.99997,0.48129,0.36752,-0.34098,0.99996,0.42506999999999995,0.36863,-0.34073,0.99997,0.46697,0.40396,-0.46129,0.99998,0.44333999999999996,0.40559,-0.46085,0.99999,0.51595,0.51144,-0.21712,0.99988,0.38442,0.51244,-0.2059,0.99997,0.5306,0.70657,-0.14991,0.99779,0.37285,0.71541,-0.11427,0.99963,0.54182,0.87241,-0.28669,0.9905,0.37807,0.89114,-0.23899,0.99825,0.54793,0.9287,-0.32838,0.97144,0.37253000000000003,0.94834,-0.28137,0.9953,0.53905,0.92941,-0.3782,0.97789,0.38273,0.94802,-0.32173,0.99622,0.5342100000000001,0.91374,-0.30817,0.98187,0.38783,0.93001,-0.25646,0.99618,0.49504000000000004,0.85297,-0.00171,0.99889,0.4145,0.85046,0.00223,0.99939,0.4887,1.11909,0.02595,0.73641,0.41107000000000005,1.12429,-0.04511,0.89964,0.48797,1.3379,0.3819,0.01478,0.40929000000000004,1.33615,0.32555,0.02005,0.49000999999999995,1.37375,0.41097,0.02915,0.40715,1.36714,0.35403,0.02895,0.47568,1.41482,0.20855,0.00973,0.41742999999999997,1.41768,0.18359,0.00888
3,120,0.4557,0.3772,-0.52251,0.99999,0.46524,0.35401,-0.50078,0.99995,0.47138,0.35423,-0.50091,0.99997,0.47561,0.35442,-0.50112,0.99994,0.44472,0.3535,-0.50093,0.99996,0.43871000000000004,0.35356,-0.50104,0.99998,0.43393000000000004,0.35366,-0.50103,0.99996,0.48114999999999997,0.36774,-0.34037,0.99995,0.42501,0.36854,-0.34129,0.99997,0.46660999999999997,0.40445,-0.46044,0.99998,0.44315000000000004,0.40571,-0.46069,0.99999,0.51591,0.512,-0.217,0.99988,0.38422,0.51245,-0.20633,0.99997,0.53054,0.70746,-0.14711,0.9978,0.37288,0.71514,-0.11691,0.9996,0.54245,0.87302,-0.28652,0.9906,0.37815,0.89118,-0.24752,0.99809,0.5488500000000001,0.92899,-0.32837,0.9714,0.37268,0.94821,-0.29186,0.99489,0.54055,0.93028,-0.37822,0.9779,0.38276,0.94776,-0.33246,0.99587,0.53581,0.9142,-0.30808,0.98181,0.38783,0.92891,-0.2653,0.99581,0.49472000000000005,0.85399,-0.00169,0.99884,0.41445,0.85184,0.00221,0.99936,0.48963,1.11913,0.04257,0.72317,0.41107000000000005,1.12596,-0.0328,0.89704,0.48816000000000004,1.33894,0.42043,0.0148,0.40932999999999997,1.3376,0.34317,0.02031,0.49007999999999996,1.37457,0.45208,0.02889,0.40717000000000003,1.36822,0.37256,0.02924,0.47565999999999997,1.41663,0.24378,0.00991,0.41801,1.41996,0.2145,0.00916
4,160,0.45565999999999995,0.37742,-0.52653,0.99999,0.46523000000000003,0.35408,-0.50553,0.99995,0.47138,0.35435,-0.50566,0.99997,0.47561,0.35453,-0.50587,0.99994,0.44472,0.35351,-0.50603,0.99996,0.43871000000000004,0.35355,-0.50614,0.99998,0.43394,0.3536,-0.50613,0.99996,0.48114,0.36818,-0.34526,0.99995,0.42501,0.36844,-0.34814,0.99997,0.46653999999999995,0.4049,-0.46433,0.99998,0.44310000000000005,0.40586,-0.46513,0.99999,0.51579,0.51208,-0.22043,0.99988,0.38405,0.51244,-0.20772,0.99997,0.5305,0.7079,-0.14807,0.99785,0.37285999999999997,0.71497,-0.12108,0.99958,0.54314,0.87339,-0.28843,0.9909,0.37815,0.89124,-0.25048,0.99804,0.5502400000000001,0.92908,-0.33068,0.97207,0.37273,0.94816,-0.29618,0.99477,0.54171,0.93063,-0.38183,0.97845,0.38277000000000005,0.94749,-0.33939,0.99577,0.53681,0.91438,-0.31036,0.98225,0.38783,0.92792,-0.26949,0.9957,0.49461,0.85439,-0.00182,0.99884,0.41437,0.85269,0.00232,0.99936,0.49065000000000003,1.11943,0.04843,0.71583,0.41105,1.12731,-0.0277,0.89584,0.48848,1.33892,0.43008,0.0145,0.40949,1.33907,0.3465,0.02022,0.49031,1.37427,0.46252,0.0282,0.40727,1.36969,0.37482,0.02916,0.47565,1.41704,0.26859,0.00977,0.41869999999999996,1.42161,0.22392,0.00915
5,200,0.45567,0.37747,-0.52542,0.99999,0.46526,0.35409,-0.50446,0.99995,0.47143999999999997,0.35439,-0.50458,0.99997,0.47563999999999995,0.35459,-0.50478,0.99994,0.44477,0.35346,-0.50556,0.99996,0.43874,0.35342,-0.50567,0.99998,0.43401999999999996,0.35336,-0.50565,0.99996,0.48114,0.36839,-0.34445,0.99995,0.42503,0.36814,-0.35014,0.99997,0.46653999999999995,0.40504,-0.46323,0.99998,0.44310000000000005,0.40586,-0.4648,0.99999,0.51557,0.51207,-0.22007,0.99988,0.38385,0.51241,-0.21102,0.99997,0.53049,0.70788,-0.1475,0.9979,0.3728,0.71495,-0.12145,0.99958,0.54376,0.87339,-0.2884,0.99121,0.37815,0.89144,-0.2595,0.99802,0.55177,0.92883,-0.33051,0.97284,0.37273,0.94815,-0.3062,0.99471,0.5433,0.93063,-0.38157,0.97906,0.38277000000000005,0.94749,-0.34974,0.99572,0.5382100000000001,0.91433,-0.31025,0.98275,0.38782000000000005,0.92784,-0.27878,0.99566,0.49460000000000004,0.85454,-0.00181,0.99885,0.41435,0.85334,0.00232,0.99936,0.49143000000000003,1.11924,0.04673,0.70975,0.41124000000000005,1.12756,-0.02556,0.8926,0.48878999999999995,1.33815,0.42801,0.01404,0.40985000000000005,1.33933,0.34711,0.01966,0.49056999999999995,1.37349,0.46041,0.02727,0.40761000000000003,1.37017,0.37769,0.02848,0.47565,1.41654,0.27089,0.00951,0.41923,1.42172,0.22496,0.00889
6,240,0.45569000000000004,0.37747,-0.52533,0.99999,0.46528,0.3541,-0.50449,0.99995,0.47148,0.35442,-0.50462,0.99997,0.47565,0.35462,-0.50481,0.99994,0.44484999999999997,0.35341,-0.50602,0.99996,0.43879,0.35328,-0.50612,0.99998,0.43411999999999995,0.35312,-0.50612,0.99996,0.48112,0.36848,-0.34499,0.99995,0.42508,0.36777,-0.35299,0.99997,0.46653999999999995,0.40506,-0.46326,0.99998,0.44310000000000005,0.40585,-0.4654,0.99999,0.51525,0.51174,-0.2206,0.99988,0.38371999999999995,0.51239,-0.21573,0.99997,0.53049,0.70779,-0.1475,0.99795,0.37261999999999995,0.7149,-0.12505,0.99957,0.5445800000000001,0.8733,-0.28764,0.99155,0.37776,0.89151,-0.26403,0.99801,0.5530900000000001,0.92779,-0.3297,0.97379,0.37214,0.94771,-0.31062,0.9947,0.54488,0.93029,-0.381,0.97977,0.38237,0.94732,-0.35394,0.99571,0.53971,0.91378,-0.30962,0.98334,0.38739999999999997,0.92764,-0.28325,0.99567,0.49460000000000004,0.85427,-0.00182,0.99888,0.41433,0.85327,0.00233,0.99937,0.49146,1.11873,0.03722,0.70731,0.4113,1.12755,-0.02411,0.88919,0.4888,1.33774,0.41242,0.01366,0.40986999999999996,1.33936,0.35027,0.01905,0.49058,1.37323,0.44502,0.02637,0.40763000000000005,1.37039,0.38034,0.02773,0.47552000000000005,1.416,0.26086,0.00923,0.41923,1.42167,0.22726,0.00857
7,280,0.45572,0.37751,-0.53063,0.99999,0.46531,0.35416,-0.5102,0.99995,0.47153,0.35451,-0.51033,0.99997,0.47567000000000004,0.35471,-0.51052,0.99994,0.44489999999999996,0.35339,-0.51205,0.99996,0.43879999999999997,0.3532,-0.51215,0.99998,0.43416,0.35293,-0.51215,0.99996,0.48109999999999997,0.36854,-0.35068,0.99995,0.42508,0.36729,-0.36009,0.99997,0.46653999999999995,0.40508,-0.46825,0.99998,0.44310000000000005,0.40582,-0.47083,0.99999,0.51486,0.51105,-0.22481,0.99988,0.38365000000000005,0.51228,-0.22265,0.99997,0.53047,0.70758,-0.14981,0.99795,0.37258,0.71466,-0.13263,0.99956,0.54533,0.87289,-0.28813,0.99169,0.37741,0.8915,-0.26898,0.99795,0.5543199999999999,0.92641,-0.32994,0.9742,0.37124999999999997,0.9466,-0.31501,0.99457,0.5464100000000001,0.92992,-0.38169,0.98007,0.38156999999999996,0.94658,-0.35839,0.9956,0.5411,0.91314,-0.31036,0.98358,0.38669,0.92698,-0.28819,0.99557,0.49470000000000003,0.85344,-0.00182,0.99888,0.41432,0.85316,0.00233,0.99936,0.49277000000000004,1.08324,0.03366,0.70579,0.41198999999999997,1.12639,-0.02332,0.88626,0.48912,1.33467,0.40476,0.0135,0.4105,1.33825,0.35568,0.01883,0.4909,1.36992,0.437,0.02586,0.40844,1.36956,0.38611,0.02748,0.47575999999999996,1.41221,0.25438,0.00911,0.41947,1.41974,0.23038,0.00843
8,320,0.45574000000000003,0.37762,-0.54517,0.99999,0.46531999999999996,0.35421,-0.52487,0.99994,0.47156,0.35455,-0.52501,0.99997,0.47568,0.35473,-0.5252,0.99993,0.44489,0.35339,-0.52663,0.99995,0.43879,0.35317,-0.52673,0.99998,0.43415000000000004,0.35285,-0.52674,0.99995,0.48107,0.36854,-0.36482,0.99995,0.42504,0.36705,-0.37373,0.99996,0.46655,0.40511,-0.48236,0.99998,0.44310000000000005,0.40582,-0.48481,0.99998,0.51456,0.51072,-0.23661,0.99988,0.38364,0.51224,-0.23421,0.99997,0.53044,0.70757,-0.16053,0.99791,0.37255000000000005,0.71456,-0.14396,0.99953,0.5464,0.87305,-0.29647,0.99167,0.37727999999999995,0.89162,-0.27594,0.99784,0.55589,0.92643,-0.33783,0.97411,0.37067000000000005,0.94595,-0.32117,0.99426,0.5482199999999999,0.93016,-0.39032,0.97998,0.38099000000000005,0.94647,-0.36385,0.99535,0.5427299999999999,0.91335,-0.31906,0.98348,0.38622,0.92699,-0.29476,0.99534,0.4949,0.85285,-0.00202,0.99886,0.41430999999999996,0.8531,0.00253,0.99934,0.49361999999999995,1.07464,0.0206,0.70525,0.41233,1.12637,-0.02269,0.88397,0.4897,1.33398,0.39479,0.01348,0.41057,1.3381,0.36415,0.01867,0.49154,1.3694,0.42732,0.02553,0.40856000000000003,1.36951,0.39569,0.02734,0.47626,1.41144,0.2428,0.00912,0.41946000000000006,1.41966,0.23944,0.00835
9,360,0.45577,0.3778,-0.53899,0.99998,0.46533,0.35431,-0.51858,0.99993,0.47157000000000004,0.35462,-0.51871,0.99996,0.47568,0.35476,-0.51889,0.99992,0.44489,0.35342,-0.5201,0.99994,0.43877,0.35317,-0.5202,0.99997,0.43415000000000004,0.35285,-0.5202,0.99995,0.48096000000000005,0.36853,-0.35953,0.99994,0.42496999999999996,0.36694,-0.36757,0.99996,0.46657000000000004,0.40512,-0.4768,0.99997,0.44311,0.40582,-0.47892,0.99998,0.51439,0.5107,-0.23458,0.99988,0.38361999999999996,0.5123,-0.23132,0.99997,0.5303599999999999,0.70794,-0.15527,0.9978,0.37255000000000005,0.71459,-0.14397,0.9995,0.5476300000000001,0.87352,-0.28909,0.99144,0.37703,0.89172,-0.2764,0.99768,0.55767,0.9267,-0.3297,0.97359,0.36995,0.94532,-0.32149,0.99388,0.55064,0.93083,-0.38274,0.97955,0.38016000000000005,0.9463,-0.36384,0.99503,0.5447,0.91417,-0.31217,0.98311,0.38544,0.92699,-0.29514,0.99505,0.49492,0.85284,-0.00214,0.99882,0.41416,0.85322,0.00266,0.9993,0.49429999999999996,1.07002,-0.00069,0.70656,0.41301,1.12667,-0.02384,0.88126,0.49134999999999995,1.33398,0.35409,0.01372,0.41145,1.33813,0.36455,0.01843,0.49337,1.36958,0.38431,0.02557,0.40976,1.3696,0.39598,0.0272,0.47785999999999995,1.41144,0.19694,0.00924,0.42010000000000003,1.41983,0.23958,0.00823
